Regione,Punti di forza principali,Aree di miglioramento principali
Abruzzo,Buone performance sulle emissioni pro capite,Assorbimenti naturali da migliorare
Basilicata,Elevati assorbimenti naturali,Emissioni pro capite elevate
Calabria,Emissioni pro capite inferiori alla media nazionale,Assorbimenti forestali da migliorare
Campania,"Emissioni pro capite tra le più basse d’Italia (3,3 t)",Assorbimenti naturali inferiori alla media
Emilia-Romagna,Elevata elettrificazione degli edifici (29%),Emissioni pro capite elevate
Friuli Venezia Giulia,Elevati assorbimenti naturali,Emissioni pro capite superiori alla media
Lazio,"Basse emissioni pro capite (5,11 t)",Assorbimenti naturali da migliorare
Liguria,Assorbimenti naturali elevati (324 t CO₂/km²),Emissioni pro capite elevate
Marche,Basse emissioni pro capite,Assorbimenti naturali inferiori alla media
Molise,Elevati assorbimenti naturali,Emissioni pro capite elevate
Piemonte,Elevati assorbimenti naturali (215 t CO₂/km²),Emissioni pro capite superiori alla media
Puglia,Buona performance sulle rinnovabili,"Emissioni pro capite elevate, soprattutto nel settore industriale"
Sardegna,Elevati assorbimenti naturali,Emissioni pro capite elevate
Sicilia,Emissioni pro capite inferiori alla media nazionale,Assorbimenti naturali da migliorare
Toscana,Seconda per assorbimenti naturali (215 t CO₂/km²),Emissioni pro capite elevate
Trentino-Alto Adige,Emissioni pro capite allineate alla media nazionale,Assorbimenti naturali da migliorare
Umbria,Basse emissioni pro capite,Assorbimenti naturali da migliorare
Valle d'Aosta,Assorbimenti naturali elevati,Emissioni pro capite elevate
Veneto,Performance industriale positiva,Emissioni pro capite superiori alla media
