Regione,Risparmio energetico (Mtep),Percentuale sul totale nazionale
Lombardia,"0,96","26,61%"
Piemonte,"0,45","12,50%"
Veneto,"0,3","8,33%"
Emilia-Romagna,"0,29","8,06%"
Lazio,"0,25","6,94%"
Toscana,"0,25","6,94%"
Campania,"0,22","6,11%"
Puglia,"0,21","5,56%"
Sicilia,"0,14","3,89%"
Friuli Venezia Giulia,"0,1","2,78%"
Marche,"0,09","2,50%"
Calabria,"0,08","2,22%"
Abruzzo,"0,07","1,94%"
Basilicata,"0,06","1,67%"
Molise,"0,04","1,11%"
Sardegna,"0,04","1,11%"
Umbria,"0,03","0,83%"
Valle d'Aosta,"0,02","0,56%"
