Regione,Superficie Kmq,"densita_demografica_kmq
abitanti/km²",PIL per abitante (migliaia di €)
Abruzzo,"10.828,89",117,31
Basilicata,"10.071,59",53,"27,5"
Calabria,"15.212,65",120,21
Campania,"13.667,85",408,"23,2"
Emilia-Romagna,"22.501,82",198,"43,3"
Friuli Venezia Giulia,"7.936,83",150,"37,7"
Lazio,"17.236,49",331,"36,1"
Liguria,"5.417,71",279,"41,8"
Lombardia,"23.862,87",421,"37,8"
Marche,"9.344,54",159,"49,1"
Molise,"4.459,80",65,"33,2"
Piemonte,"25.391,67",168,"26,7"
Puglia,"19.541,03",198,"36,7"
Sardegna,"24.106,30",65,"23,5"
Sicilia,"25.824,33",185,"26,3"
Toscana,"22.985,01",159,"22,9"
Trentino-Alto Adige,"13.605,97",80,"37,7"
Umbria,"8.463,97",101,"30,5"
Valle d'Aosta,"3.258,61",38,"46,3"
Veneto,"18.351,49",264,"40,6"
